ID;IDCOMPANY;IDUSER;DATE_INSERT;DATE_UPDATE;DATARICHIESTA;RECORD_STATUS;DATA_CESTINO;DATA_STORICO;IDCUSTOMER;SOSPESA;URGENTE;ASSICURAZIONE_AFFITTO;TRATTATIVA;CONSULENZAMUTUO;NOTE;INAFFITTO;AFFITTO_RISCATTO;CATEGORIA;IDTIPO;IDSUBTIPO;IDCOMUNE;IDZONA;IDSOTTOZONA;LOCALITA_FILTER_TYPE;LOCALITA_AREA;LOCALITA_AREA2;LOCALITA_AREA3;LOCALITA;IDMACROZONA;CARATTERISTICHE;MQ;MQ2;BAGNO1;BAGNO2;CAMERA1;CAMERA2;VANI1;VANI2;PREZZO1;PREZZO2;KEYMONEY1;KEYMONEY2;ANTICIPO1;ANTICIPO2;ARREDATO;ARREDATO_PARZ;ARREDATO_NO;NUOVACOSTRUZIONE;STUDENTI;USOVACANZA;INVESTIMENTO;ULTIMOPIANO;PIANO;PIANO_SUP_A;PIANO_INF_A;IDPOSIZIONE;DISTANZE;IDVISTA;TERRENO;TERRENO_MQ;CONDOMINIO_IDTIPO;PREGIUDIZI;LOCATION_COMMERCIALE;IDSTATO;IDTIPOCONTRATTO;IDTIPOPROPRIETA;COMM_IDDESTINAZIONE;IDTIPOMOTIVAZIONERICHIESTA;RATING;ASTA;ANNO;SPAZIO_ESTERNO_ABITABILE;PERTINENZE;IDCANALE;VENDERE_PRIMA;IDUSER_INSERT;IDUSER_INSERT_DATE;IDUSER_UPDATE;IDUSER_UPDATE_DATE;IDRICHIESTADALWEB
4;1;1;1591957584;1591957765;1591912800;1;0;0;8;0;0;0;0;0;;0;0;0;,1,;,2,;,5792,;;;0;;null;null;#1#13#68#5792###|;;;0;0;0;0;2;0;0;0;130000.00;140000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;|m#|m#|m#|m;;0;0;;0;0;;;;,72,;0;0;0;;0;0;0;0;1;1591957584;null;null;0
44;1;1;1596645721;1596646977;1596578400;1;0;0;68;0;0;0;0;0;;0;0;0;,1,;,4,;;;;0;;null;null;;;23|||53;0;0;2;0;3;0;0;0;170000.00;200000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1596645721;null;null;0
50;1;1;1599755478;1599755538;1599688800;1;0;0;84;0;0;0;0;0;"non collina, preferibilmente vicino al mare, villa indipendente, non attaccata ad altre, non troppo grande";0;0;0;,11,;,16,;;;;0;;null;null;;;;100;140;0;0;0;0;0;0;0.00;300000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;,28,;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1599755478;null;null;0
53;1;1;1600156353;1600156353;1600120800;1;0;0;87;0;0;0;0;0;;0;0;0;,1,;,3,;;;;0;;null;null;;;23|||55,53;0;0;0;0;0;0;0;0;0.00;250000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1600156353;null;null;0
58;1;1;1601649625;1601649654;1601589600;1;0;0;105;0;0;0;0;0;"dipendente regionale ha chiamato per A401";0;0;0;,1,;,3,;,5792,;;;0;;null;null;#1#13#68#5792###|;;;0;0;0;0;0;0;0;0;0.00;130000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;,18,;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1601649625;null;null;0
59;1;6;1601650055;1624548377;1601589600;1;0;0;106;0;0;0;0;0;"cerca villa 200mq-250mq zona pescara sud, 1a collina GIA RISOLTO";0;0;0;,11,;,12,;;;;0;;;;;;;200;250;0;0;0;0;0;0;0.00;350000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1601650055;null;null;0
60;1;1;1601650534;1601650537;1601589600;1;0;0;107;0;0;0;0;0;;0;0;0;,1,;,3,;;;;0;;null;null;;;;0;0;0;0;0;0;0;0;0.00;150000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1601650534;null;null;0
66;1;1;1602862400;1602862570;1602799200;1;0;0;115;0;0;0;0;0;;0;0;0;,1,;,3,;;;;0;;null;null;;;;0;0;1;2;2;2;0;0;140000.00;150000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;,29,;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1602862400;null;null;0
68;1;1;1603097694;1605202214;1603058400;1;0;0;119;0;0;0;0;0;"Cerca zona da via Lungaterno, Naiadi, 100/200 m dietro stazione. Grande zona giorno, app luminoso, piani alti. Chiavi in mano. Scende da Milano 1 volta a mese (per la moglie) Ottimo cliente (da Milano, no mutuo)";0;0;0;,1,;,4,3,;,5792,;,604586,941,;;0;;null;null;#1#13#68#5792###|#1#13#68#5792#604586#0#|#1#13#68#5792#941#0#|;;;0;0;0;0;3;4;0;0;0.00;155000.00;0;0;0;0;0;0;0;0;0;0;0;0;;3;;,18,;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1603097694;null;null;0
73;1;1;1603790633;1603790673;1603753200;1;0;0;125;0;0;0;0;0;"cerca in piazza Sant'Alfonso , Viale Nettuno";0;0;0;,1,;,4,;,5845,;;;0;;null;null;#1#13#69#5845###|;;;0;0;0;0;0;0;0;0;150000.00;160000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;|m#|m#|m#|m;,36,;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1603790633;null;null;0
76;1;1;1603966296;1608726999;1603926000;1;0;0;128;0;0;0;0;0;"cerca app 100 - 130 mq";0;0;0;,1,;,5,;,5792,;,604586,;;0;;null;null;#1#13#68#5792#604586#0#|;;;0;0;0;0;0;0;0;0;200000.00;350000.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;|m#|m#|m#|m;;0;0;;0;0;;;;;0;0;0;;0;0;0;0;1;1603966296;null;null;0
